id,index,section,subsection,subsubsection,faceValue,currency,numistaNumber,numistaLink,weight,references,matchConfidence,image1Url,image2Url,referenceImageUrl,secondarySection,secondarySubsection,source,verified
1,'0.1,European Trading Companies,Dutch East India Company,,1,Fanam,N49019,https://en.numista.com/catalogue/pieces49019.html,,,,,,,,,,
2,'0.2,British India Presidencies,Madras Presidency,,10,Cash,N4090,https://en.numista.com/catalogue/pieces4090.html,4.7,,,,,,Tamil Kingdoms,Madras Presidency,,
3,'0.3,British India Princely States,Mysore Residency,Mysore,1,Fanam,N50631,https://en.numista.com/catalogue/pieces50631.html,,,,,,,,,,
4,'1.1,British India Princely States,Madras States Agency,Travancore,1,Chuckram,N26113,https://en.numista.com/catalogue/pieces26113.html,,,,,,,,,,
5,'1.2,British India Princely States,Madras States Agency,Travancore,1,Chuckram,N26113,https://en.numista.com/catalogue/pieces26113.html,,,,,,,,,,
6,'1.3,British India Princely States,Madras States Agency,Travancore,4,Cash,N24641,https://en.numista.com/catalogue/pieces24641.html,,,,,,,,,,
7,'1.4,British India Princely States,Madras States Agency,Travancore,8,Cash,N25523,https://en.numista.com/catalogue/pieces25523.html,,,,,,,,,,
8,'1.5,British India Princely States,Madras States Agency,Pudukottai,1,Amman Cash,N26157,https://en.numista.com/catalogue/pieces26157.html,,,High,,,,Tamil Kingdoms,Pudukottai,,
9,'1.6,British India Princely States,Madras States Agency,Travancore,1,Cash,N21870,https://en.numista.com/catalogue/pieces21870.html,,,,,,,,,,
10,'1.7,British India Princely States,Madras States Agency,Travancore,1,Cash,N57425,https://en.numista.com/catalogue/pieces57425.html,,,,,,,,,,
11,'1.8,Tamil Kingdoms,Cholas,,1,Massa,N17657,https://en.numista.com/catalogue/pieces17657.html,3.99,Reverse not clear match,Medium,,,,,,,
12,'1.9,British India Princely States,Mysore Residency,Mysore,20,Cash,N44910,https://en.numista.com/catalogue/pieces44910.html,,,,,,,,,,
13,'1.10,British India Princely States,Mysore Residency,Mysore,25,Cash,N37244,https://en.numista.com/catalogue/pieces37244.html,,,,,,,,,,
14,'1.11,Tamil Kingdoms,Sivagangai,,1,Kasu,N433884,https://en.numista.com/catalogue/pieces433884.html,3.26,[Zeno Match | https://www.zeno.ru/showphoto.php?photo=41435],High,,,,,,,
15,'1.12,Tamil Kingdoms,Sivagangai,,1,Kasu,N61548,https://en.numista.com/catalogue/pieces61548.html,3.16,,High,,,,,,,
16,'2.1,British India Princely States,Hyderabad Residency,Hyderabad,2,Pai,N22299,https://en.numista.com/catalogue/pieces22299.html,,,,,,,,,,
17,'2.2,British India Princely States,Western India States Agency,Junagadh,1,Dokda,N17565,https://en.numista.com/catalogue/pieces17565.html,3.77,,,,,,,,,
18,'2.3,British India Princely States,Western India States Agency,Nawanagar,1,Dokda,N48832,https://en.numista.com/48832,7.33,,,,,,,,,
19,'2.4,British India Princely States,Madras States Agency,Travancore,1,Fanam,N17566,https://en.numista.com/catalogue/pieces17566.html,,,,,,,,,,
20,'2.5,British India Princely States,Hyderabad Residency,Hyderabad,2,Annas,N15702,https://en.numista.com/catalogue/pieces15702.html,,,,,,,,,,
21,'2.6,British India Princely States,Madras States Agency,Travancore,4,Cash,N24642,https://en.numista.com/catalogue/pieces24642.html,,,,,,,,,,
22,'2.7,British India Princely States,Madras States Agency,Travancore,8,Cash,N24627,https://en.numista.com/catalogue/pieces24627.html?mobile=0,,,,,,,,,,
23,'2.8,British India Princely States,Madras States Agency,Arcot,1,Paisa,N421831,https://en.numista.com/catalogue/pieces421831.html,13,[NGC | https://www.ngccoin.com/price-guide/world/india-princely-states-arcot-paisa-km-19-1188-1198-cuid-1148385-duid-1488695] [Zeno | https://www.zeno.ru/showphoto.php?photo=162709],High,,,,Tamil Kingdoms,Arcot,,
24,'2.9,British India Princely States,Madras States Agency,Arcot,1,Paisa,N189573,https://en.numista.com/catalogue/pieces189573.html,13,,High,,,,Tamil Kingdoms,Arcot,,
25,'2.10,British India Princely States,Madras States Agency,Arcot,1/2,Paisa,N422395,https://en.numista.com/catalogue/pieces422395.html,,[Example 1 | https://www.zeno.ru/showphoto.php?photo=94071] [Example 2 | https://www.zeno.ru/showphoto.php?photo=292109],High,,,,Tamil Kingdoms,Arcot,,
26,'2.11,British India Princely States,Madras States Agency,Travancore,1,Chuckram,N21888,https://en.numista.com/catalogue/pieces21888.html,,,,,,,,,,
27,'2.12,British India Princely States,Madras States Agency,Travancore,1,Chuckram,N19332,https://en.numista.com/catalogue/pieces19332.html,8,,,,,,,,,
28,'3.1,British India Uniform Coinage,George VI (1936-1952),,2,Annas,N5556,https://en.numista.com/catalogue/pieces5556.html,,,,,,,,,,
29,'3.2,British India Uniform Coinage,Edward VII (1901-1910),,1,Rupee,N3722,https://en.numista.com/catalogue/pieces3722.html,11.61,,,,,,,,,
30,'3.3,British India Uniform Coinage,George V (1910-1936),,1/12,Annas,N1110,https://en.numista.com/catalogue/pieces1110.html,,,,,,,,,,
31,'3.4,British India Uniform Coinage,George VI (1936-1952),,1/2,Pice,N7811,https://en.numista.com/catalogue/pieces7811.html,,,,,,,,,,
32,'3.5,British India Uniform Coinage,George VI (1936-1952),,1/4,Annas,N18116,https://en.numista.com/catalogue/pieces18116.html,,,,,,,,,,
33,'3.6,British India Uniform Coinage,George VI (1936-1952),,1/12,Annas,N3708,https://en.numista.com/catalogue/pieces3708.html,,,,,,,,,,
34,'3.7,British India Uniform Coinage,George VI (1936-1952),,1,Pice,N1613,https://en.numista.com/catalogue/pieces1613.html,,,,,,,,,,
35,'3.8,British India Uniform Coinage,George VI (1936-1952),,1,Pice,N1613,https://en.numista.com/catalogue/pieces1613.html,,,,,,,,,,
36,'3.9,British India Presidencies,Madras Presidency,Trichinopoly Kasu,1,Cash,N58888,https://en.numista.com/catalogue/pieces58888.html,2,[EIC Trichy Reverse | https://www.zeno.ru/showphoto.php?photo=369957],Medium,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1776552996535-obverse.jpg,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1776552998464-reverse.jpg,,,,,
37,'3.10,British India Presidencies,Madras Presidency,Trichinopoly Kasu,1,Cash,N67461,https://en.numista.com/catalogue/pieces67461.html,2,Shaktona Obverser. Unknown Reverse,Low,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1776553386181-obverse.jpg,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1776553387106-reverse.jpg,,,,,
38,'3.11,British India Presidencies,Madras Presidency,Trichinopoly Kasu,1,Cash,N428781,https://en.numista.com/catalogue/pieces428781.html,2,[Trichy EIC Reverse | https://www.zeno.ru/showphoto.php?photo=369957][Zeno Document | https://www.zeno.ru/showphoto.php?photo=37523],Medium,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1776552731641-obverse.jpg,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1776552732897-reverse.jpg,,,,,
39,'3.12,British India Presidencies,Madras Presidency,Trichinopoly Kasu,1,Cash,N428782,https://en.numista.com/catalogue/pieces428782.html,2,[Likely Trichy EIC | https://www.zeno.ru/showphoto.php?photo=369957] [Zeno Document | https://www.zeno.ru/showphoto.php?photo=37523],Low,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1776553211104-obverse.jpg,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1776553213180-reverse.jpg,,,,,
40,'4.1,European Trading Companies,Dutch East India Company,,1,Cash,N48918,https://en.numista.com/catalogue/pieces48918.html,,,,,,,,,,
41,'4.2,British India Presidencies,Madras Presidency,,10,Cash,N4090,https://en.numista.com/catalogue/pieces4090.html,4.7,,,,,,Tamil Kingdoms,Madras Presidency,,
42,'4.3,British India Uniform Coinage,William IV (1830-1837),William IV,1/12,Annas,N16616,https://en.numista.com/catalogue/pieces16616.html,,,,,,,,,,
43,'4.4,British India Uniform Coinage,William IV (1830-1837),,1/2,Annas,N4068,https://en.numista.com/catalogue/pieces4068.html,,,,,,,,,,
44,'4.5,British India Uniform Coinage,Victoria - Divided Legend (1862-1876),,1/2,Pice,N23472,https://en.numista.com/catalogue/pieces23472.html,,,,,,,,,,
45,'4.6,British India Uniform Coinage,Victoria - Empress (1877-1901),,1/12,Annas,N7259,https://en.numista.com/catalogue/pieces7259.html,,,,,,,,,,
46,'4.7,British India Uniform Coinage,Victoria - Crowned (1862-1876),,1/4,Annas,N18310,https://en.numista.com/catalogue/pieces18310.html,,,,,,,,,,
47,'4.8,British India Uniform Coinage,Victoria - Crowned (1862-1876),,1/4,Annas,N18310,https://en.numista.com/catalogue/pieces18310.html,,,,,,,,,,
48,'4.9,British India Uniform Coinage,Victoria - Crowned (1862-1876),,1/2,Pice,N26300,https://en.numista.com/catalogue/pieces26300.html,,,,,,,,,,
49,'4.10,British India Uniform Coinage,Edward VII (1901-1910),,1/4,Annas,N1620,https://en.numista.com/catalogue/pieces1620.html,,,,,,,,,,
50,'4.11,British India Uniform Coinage,Edward VII (1901-1910),,1/4,Annas,N1620,https://en.numista.com/catalogue/pieces1620.html,,,,,,,,,,
51,'4.12,British India Uniform Coinage,George V (1910-1936),,1/4,Annas,N1619,https://en.numista.com/catalogue/pieces1619.html,,,,,,,,,,
52,'5.1,British India Uniform Coinage,George V (1910-1936),,1/4,Annas,N1619,https://en.numista.com/catalogue/pieces1619.html,,,,,,,,,,
53,'5.2,British India Uniform Coinage,George V (1910-1936),,1/4,Annas,N1619,https://en.numista.com/catalogue/pieces1619.html,,,,,,,,,,
54,'5.3,British India Uniform Coinage,George V (1910-1936),,1/4,Annas,N1619,https://en.numista.com/catalogue/pieces1619.html,,,,,,,,,,
55,'5.4,British India Uniform Coinage,George VI (1936-1952),,1,Rupee,N20327,https://en.numista.com/catalogue/pieces20327.html,,,,,,,,,,
56,'5.5,British India Uniform Coinage,George V (1910-1936),,2,Annas,N1300,https://en.numista.com/catalogue/pieces1300.html,,,,,,,,,,
57,'5.6,British India Uniform Coinage,George VI (1936-1952),,1/4,Annas,N1618,https://en.numista.com/catalogue/pieces1618.html,,,,,,,,,,
58,'5.7,British India Uniform Coinage,George VI (1936-1952),,1/12,Annas,N18706,https://en.numista.com/catalogue/pieces18706.html,,,,,,,,,,
59,'5.8,British India Uniform Coinage,George VI (1936-1952),,1,Annas,N1617,https://en.numista.com/catalogue/pieces1617.html,,,,,,,,,,
60,'5.9,British India Uniform Coinage,George VI (1936-1952),,1,Annas,N15278,https://en.numista.com/catalogue/pieces15278.html,,,,,,,,,,
61,'5.10,British India Uniform Coinage,George VI (1936-1952),,1/2,Annas,N1612,https://en.numista.com/catalogue/pieces1612.html,,,,,,,,,,
62,'5.11,British India Uniform Coinage,George VI (1936-1952),,1,Pice,N1613,https://en.numista.com/catalogue/pieces1613.html,,,,,,,,,,
63,'5.12,British India Uniform Coinage,George VI (1936-1952),,1,Pice,N1613,https://en.numista.com/catalogue/pieces1613.html,,,,,,,,,,
64,'6.1,British India Uniform Coinage,William IV (1830-1837),,1/4,Annas,N4849,https://en.numista.com/catalogue/pieces4849.html,,,,,,,,,,
65,'6.2,British India Uniform Coinage,Victoria - Empress (1877-1901),,1/2,Pice,N17534,https://en.numista.com/catalogue/pieces17534.html,,,,,,,,,,
66,'6.3,British India Uniform Coinage,Victoria - Crowned (1862-1876),,1/4,Annas,N18310,https://en.numista.com/catalogue/pieces18310.html,,,,,,,,,,
67,'6.4,British India Presidencies,Bombay Presidency,,1/4,Annas,N22940,https://en.numista.com/catalogue/pieces22940.html,,,,,,,,,,
68,'6.5,British India Uniform Coinage,George V (1910-1936),,1,Annas,N1614,https://en.numista.com/catalogue/pieces1614.html,,,,,,,,,,
69,'6.6,British India Presidencies,Bombay Presidency,,1,Pie,N22947,https://en.numista.com/catalogue/pieces22947.html,,,,,,,,,,
70,'6.7,British India Uniform Coinage,George V (1910-1936),,4,Annas,N15672,https://en.numista.com/catalogue/pieces15672.html,,,,,,,,,,
71,'6.8,British India Uniform Coinage,George VI (1936-1952),,1/4,Rupee,N6555,https://en.numista.com/catalogue/pieces6555.html,,,,,,,,,,
72,'6.9,British India Presidencies,Bengal Presidency,,1,Pice,N22954,https://en.numista.com/catalogue/pieces22954.html,,,,,,,,,,
73,'6.10,British India Presidencies,Madras Presidency,,1/2,Dub,N22401,https://en.numista.com/catalogue/pieces22401.html,5.89,,,,,,Tamil Kingdoms,Madras Presidency,,
74,'6.11,British India Presidencies,Madras Presidency,,2,Pies,N33250,https://en.numista.com/catalogue/pieces33250.html,,,,,,,Tamil Kingdoms,Madras Presidency,,
75,'6.12,British India Presidencies,Madras Presidency,,5,Cash,N12032,https://en.numista.com/catalogue/pieces12032.html,,,,,,,Tamil Kingdoms,Madras Presidency,,
77,'7.1,British India Uniform Coinage,Victoria - Divided Legend (1862-1876),,1/4,Annas,N22397,https://en.numista.com/catalogue/pieces22397.html,,,,,,,,,,
78,'7.2,British India Presidencies,Madras Presidency,,4,Pies,N22935,https://en.numista.com/catalogue/pieces22935.html,,,,,,,Tamil Kingdoms,Madras Presidency,,
79,'7.3,British India Presidencies,Madras Presidency,,1,Pies,N35941,https://en.numista.com/catalogue/pieces35941.html,,,,,,,Tamil Kingdoms,Madras Presidency,,
80,'7.4,British India Presidencies,Madras Presidency,,20,Cash,N6730,https://en.numista.com/catalogue/pieces6730.html,11.72,,,,,,Tamil Kingdoms,Madras Presidency,,
81,'7.5,British India Presidencies,Madras Presidency,,1/16,Rupee,N41310,https://en.numista.com/catalogue/pieces41310.html,0.72,,,,,,Tamil Kingdoms,Madras Presidency,,
82,'7.6,British India Uniform Coinage,George VI (1936-1952),,1,Annas,N8849,https://en.numista.com/catalogue/pieces8849.html,,,,,,,,,,
83,'7.7,British India Uniform Coinage,George VI (1936-1952),,1,Rupee,N12426,https://en.numista.com/catalogue/pieces12426.html,,,,,,,,,,
84,'7.8,British India Uniform Coinage,George VI (1936-1952),,1/2,Annas,N10783,https://en.numista.com/catalogue/pieces10783.html,,,,,,,,,,
85,'7.9,British India Presidencies,Bengal Presidency,,1/4,Annas,N58359,https://en.numista.com/catalogue/pieces58359.html,,,,,,,,,,
86,'7.10,British India Uniform Coinage,Edward VII (1901-1910),,1,Annas,N4853,https://en.numista.com/catalogue/pieces4853.html,,,,,,,,,,
87,'7.11,British India Uniform Coinage,Victoria - Crowned (1862-1876),,1/2,Annas,N6462,https://en.numista.com/catalogue/pieces6462.html,,,,,,,,,,
76,'9.8,British India Presidencies,Bengal Presidency,,1,Pie,N22395,https://en.numista.com/catalogue/pieces22395.html,,,,,,,,,,
88,'7.12,British India Uniform Coinage,Edward VII (1901-1910),,1/4,Annas,N20320,https://en.numista.com/catalogue/pieces20320.html,,,,,,,,,,
89,'8.1,British India Uniform Coinage,Edward VII (1901-1910),,1/2,Pice,N20886,https://en.numista.com/catalogue/pieces20886.html,2.99,,,,,,,,,
90,'8.2,British India Uniform Coinage,Victoria - Empress (1877-1901),,1/4,Annas,N1615,https://en.numista.com/catalogue/pieces1615.html,,,,,,,,,,
91,'8.3,British India Uniform Coinage,Victoria - Divided Legend (1862-1876),,1/12,Annas,N18295,https://en.numista.com/catalogue/pieces18295.html,,,,,,,,,,
92,'8.4,British India Uniform Coinage,George VI (1936-1952),,1/2,Rupee,N10613,https://en.numista.com/catalogue/pieces10613.html,6,,,,,,,,,
93,'8.5,British India Uniform Coinage,George VI (1936-1952),,1/4,Rupee,N4854,https://en.numista.com/catalogue/pieces4854.html,3,,,,,,,,,
94,'8.6,British India Uniform Coinage,George V (1910-1936),,1/4,Rupee,N18581,https://en.numista.com/catalogue/pieces18581.html,3,,,,,,,,,
95,'8.7,British India Uniform Coinage,Victoria - Empress (1877-1901),,1,Rupee,N3719,https://en.numista.com/catalogue/pieces3719.html,11,,,,,,,,,
96,'8.8,British India Presidencies,Madras Presidency,,1/4,Rupee,N62277,https://en.numista.com/catalogue/pieces62277.html,3,,,,,,Tamil Kingdoms,Madras Presidency,,
97,'8.9,British India Uniform Coinage,Edward VII (1901-1910),,2,Annas,N18621,https://en.numista.com/catalogue/pieces18621.html,2,,,,,,,,,
98,'8.10,British India Uniform Coinage,Edward VII (1901-1910),,1/4,Rupee,N22398,https://en.numista.com/catalogue/pieces22398.html,3,,,,,,,,,
99,'8.11,British India Uniform Coinage,Victoria - Empress (1877-1901),,2,Annas,N17535,https://en.numista.com/catalogue/pieces17535.html,2,,,,,,,,,
100,'8.12,British India Uniform Coinage,Victoria - Divided Legend (1862-1876),,1/4,Rupee,N25903,https://en.numista.com/catalogue/pieces25903.html,,,,,,,,,,
101,'9.1,British India Uniform Coinage,William IV (1830-1837),,1/4,Rupee,N41024,https://en.numista.com/catalogue/pieces41024.html,3,,,,,,,,,
102,'9.2,British India Uniform Coinage,William IV (1830-1837),,1,Rupee,N15709,https://en.numista.com/catalogue/pieces15709.html,11,,,,,,,,,
103,'9.3,British India Uniform Coinage,George V (1910-1936),,1/2,Pice,N16623,https://en.numista.com/catalogue/pieces16623.html,,,,,,,,,,
104,'9.4,British India Uniform Coinage,George VI (1936-1952),,1/2,Rupee,N8239,https://en.numista.com/catalogue/pieces8239.html,,,,,,,,,,
105,'9.5,British India Uniform Coinage,Edward VII (1901-1910),,1/12,Annas,N11133,https://en.numista.com/catalogue/pieces11133.html,1.65,,,,,,,,,
106,'9.6,British India Uniform Coinage,Victoria - Empress (1877-1901),,1/2,Annas,N15713,https://en.numista.com/catalogue/pieces15713.html,,,,,,,,,,
107,'9.7,British India Presidencies,Bombay Presidency,,1,Pice,N28173,https://en.numista.com/catalogue/pieces28173.html,,,,,,,,,,
108,'9.9,British India Presidencies,Madras Presidency,,1,Cash,N421471,https://en.numista.com/catalogue/pieces421471.html,1.26,,Medium,,,,Tamil Kingdoms,Madras Presidency,,
109,'9.10,British India Presidencies,Madras Presidency,,1,Cash,N66319,https://en.numista.com/catalogue/pieces66319.html,1.01,,High,,,,Tamil Kingdoms,Madras Presidency,,
110,'9.11,British India Uniform Coinage,George VI (1936-1952),,2,Annas,N1616,https://en.numista.com/catalogue/pieces1616.html,,,,,,,,,,
111,'9.12,British India Uniform Coinage,George VI (1936-1952),,2,Annas,N7305,https://en.numista.com/catalogue/pieces7305.html,,,,,,,,,,
112,'10.1,European Trading Companies,Dutch East India Company,,1,Duit,N18851,https://en.numista.com/catalogue/pieces18851.html,3.14,,,,,,,,,
113,'10.2,Other,Canada,,25,Cents,N375,https://en.numista.com/catalogue/pieces375.html,,,,,,,,,,
114,'10.3,European Overseas,Netherlands East Indies,,2 1/2,Cents,N12708,https://en.numista.com/catalogue/pieces12708.html,,,,,,,,,,
115,'10.4,British India Princely States,Mysore Residency,Mysore,10,Cash,N36678,https://en.numista.com/catalogue/pieces36678.html,4.25,,,,,,,,,
116,'10.5,British India Princely States,Madras States Agency,Travancore,1,Cash,N46077,https://en.numista.com/catalogue/pieces46077.html,,,,,,,,,,
117,'10.6,European Trading Companies,French India,,1,Doudou,N24418,https://en.numista.com/catalogue/pieces24418.html,,,,,,,,,,
118,'10.7,British India Princely States,Hyderabad Residency,Hyderabad,2,Pai,N13577,https://en.numista.com/catalogue/pieces13577.html,,,,,,,,,,
119,'10.8,European Trading Companies,Portuguese India,,1/4,Tanga,N24972,https://en.numista.com/catalogue/pieces24972.html,,,,,,,,,,
120,'10.9,British India Uniform Coinage,George VI (1936-1952),,1,Annas,N1611,https://en.numista.com/catalogue/pieces1611.html,,,,,,,,,,
121,'10.10,British India Uniform Coinage,George VI (1936-1952),,2,Annas,N5554,https://en.numista.com/catalogue/pieces5554.html,,,,,,,,,,
122,'10.11,British India Uniform Coinage,George VI (1936-1952),,2,Annas,N5554,https://en.numista.com/catalogue/pieces5554.html,,,,,,,,,,
123,'10.12,British India Uniform Coinage,George V (1910-1936),,1/4,Annas,N47251,https://en.numista.com/catalogue/pieces47251.html,,,,,,,,,,
124,'11.1,British India Uniform Coinage,George V (1910-1936),,8,Annas,N17177,https://en.numista.com/catalogue/pieces17177.html,,,,,,,,,,
125,'11.2,British India Uniform Coinage,George V (1910-1936),,1,Rupee,N4851,https://en.numista.com/catalogue/pieces4851.html,12,,,,,,,,,
126,'11.3,British India Presidencies,Madras Presidency,,10,Cash,N22928,https://en.numista.com/catalogue/pieces22928.html,4.47,,,,,,Tamil Kingdoms,Madras Presidency,,
127,'11.4,British India Presidencies,Madras Presidency,,20,Cash,N60202,https://en.numista.com/catalogue/pieces60202.html,8.47,,,,,,Tamil Kingdoms,Madras Presidency,,
128,'11.5,British India Presidencies,Madras Presidency,,1/8,Rupee,N58475,https://en.numista.com/catalogue/pieces58475.html,1.44,,,,,,Tamil Kingdoms,Madras Presidency,,
129,'11.6,British India Presidencies,Madras Presidency,,1/2,Rupee,N62275,https://en.numista.com/catalogue/pieces62275.html,,,,,,,Tamil Kingdoms,Madras Presidency,,
130,'11.7,British India Presidencies,Madras Presidency,,1,Rupee,N26100,https://en.numista.com/catalogue/pieces26100.html,,,,,,,Tamil Kingdoms,Madras Presidency,,
131,'11.8,British India Uniform Coinage,Edward VII (1901-1910),,1/2,Pice,N13550,https://en.numista.com/catalogue/pieces13550.html,2.34,,,,,,,,,
132,'11.9,British India Uniform Coinage,Edward VII (1901-1910),,1/12,Annas,N10971,https://en.numista.com/catalogue/pieces10971.html,2.00,,,,,,,,,
